rank,question
1,What is the genre of the movie 'Guardians of the Galaxy'?
1,"Can you recommend a movie similar to 'Guardians of the Galaxy' in the Action,Adventure,Sci-Fi genre?"
1,In which other movies did Chris Pratt star besides 'Guardians of the Galaxy'?
2,What is the genre of the movie 'Prometheus'?
2,"Can you recommend a movie similar to 'Prometheus' in the Adventure,Mystery,Sci-Fi genre?"
2,What other movies did Ridley Scott direct besides 'Prometheus'?
3,What is the genre of the movie 'Split'?
3,"Can you recommend a movie similar to 'Split' in the Horror,Thriller genre?"
3,What other movies did M. Night Shyamalan direct besides 'Split'?
4,What is the genre of the movie 'Sing'?
4,"Can you recommend a movie similar to 'Sing' in the Animation,Comedy,Family genre?"
4,In which other movies did Scarlett Johansson star besides 'Sing'?
5,What is the genre of the movie 'Suicide Squad'?
5,"Can you recommend a movie similar to 'Suicide Squad' in the Action,Adventure,Fantasy genre?"
5,In which other movies did Margot Robbie star besides 'Suicide Squad'?
6,What is the genre of the movie 'The Great Wall'?
6,"Can you recommend a movie similar to 'The Great Wall' in the Action,Adventure,Fantasy genre?"
6,What other movies did Yimou Zhang direct besides 'The Great Wall'?
7,What is the genre of the movie 'La La Land'?
7,"Can you recommend a movie similar to 'La La Land' in the Comedy,Drama,Music genre?"
7,In which other movies did Ryan Gosling star besides 'La La Land'?
8,What is the genre of the movie 'Mindhorn'?
8,Can you recommend a movie similar to 'Mindhorn' in the Comedy genre?
8,What other movies did Sean Foley direct besides 'Mindhorn'?
9,What is the genre of the movie 'The Lost City of Z'?
9,"Can you recommend a movie similar to 'The Lost City of Z' in the Action,Adventure,Biography genre?"
9,What other movies did James Gray direct besides 'The Lost City of Z'?
10,What is the genre of the movie 'Passengers'?
10,"Can you recommend a movie similar to 'Passengers' in the Adventure,Drama,Romance genre?"
10,What other movies did Morten Tyldum direct besides 'Passengers'?
11,What is the genre of the movie 'Fantastic Beasts and Where to Find Them'?
11,"Can you recommend a movie similar to 'Fantastic Beasts and Where to Find Them' in the Adventure,Family,Fantasy genre?"
11,What other movies did David Yates direct besides 'Fantastic Beasts and Where to Find Them'?
12,What is the genre of the movie 'Hidden Figures'?
12,"Can you recommend a movie similar to 'Hidden Figures' in the Biography,Drama,History genre?"
12,In which other movies did Janelle Monáe star besides 'Hidden Figures'?
13,What is the genre of the movie 'Rogue One'?
13,"Can you recommend a movie similar to 'Rogue One' in the Action,Adventure,Sci-Fi genre?"
13,In which other movies did Alan Tudyk star besides 'Rogue One'?
14,What is the genre of the movie 'Moana'?
14,"Can you recommend a movie similar to 'Moana' in the Animation,Adventure,Comedy genre?"
14,What other movies did Ron Clements direct besides 'Moana'?
15,What is the genre of the movie 'Colossal'?
15,"Can you recommend a movie similar to 'Colossal' in the Action,Comedy,Drama genre?"
15,In which other movies did Tim Blake Nelson star besides 'Colossal'?
16,What is the genre of the movie 'The Secret Life of Pets'?
16,"Can you recommend a movie similar to 'The Secret Life of Pets' in the Animation,Adventure,Comedy genre?"
16,What other movies did Chris Renaud direct besides 'The Secret Life of Pets'?
17,What is the genre of the movie 'Hacksaw Ridge'?
17,"Can you recommend a movie similar to 'Hacksaw Ridge' in the Biography,Drama,History genre?"
17,In which other movies did Teresa Palmer star besides 'Hacksaw Ridge'?
18,What is the genre of the movie 'Jason Bourne'?
18,"Can you recommend a movie similar to 'Jason Bourne' in the Action,Thriller genre?"
18,What other movies did Paul Greengrass direct besides 'Jason Bourne'?
19,What is the genre of the movie 'Lion'?
19,"Can you recommend a movie similar to 'Lion' in the Biography,Drama genre?"
19,What other movies did Garth Davis direct besides 'Lion'?
20,What is the genre of the movie 'Arrival'?
20,"Can you recommend a movie similar to 'Arrival' in the Drama,Mystery,Sci-Fi genre?"
20,In which other movies did Forest Whitaker star besides 'Arrival'?
21,What is the genre of the movie 'Gold'?
21,"Can you recommend a movie similar to 'Gold' in the Adventure,Drama,Thriller genre?"
21,What other movies did Stephen Gaghan direct besides 'Gold'?
22,What is the genre of the movie 'Manchester by the Sea'?
22,Can you recommend a movie similar to 'Manchester by the Sea' in the Drama genre?
22,In which other movies did Michelle Williams star besides 'Manchester by the Sea'?
23,What is the genre of the movie 'Hounds of Love'?
23,"Can you recommend a movie similar to 'Hounds of Love' in the Crime,Drama,Horror genre?"
23,What other movies did Ben Young direct besides 'Hounds of Love'?
24,What is the genre of the movie 'Trolls'?
24,"Can you recommend a movie similar to 'Trolls' in the Animation,Adventure,Comedy genre?"
24,In which other movies did Anna Kendrick star besides 'Trolls'?
25,What is the genre of the movie 'Independence Day: Resurgence'?
25,"Can you recommend a movie similar to 'Independence Day: Resurgence' in the Action,Adventure,Sci-Fi genre?"
25,What other movies did Roland Emmerich direct besides 'Independence Day: Resurgence'?
26,What is the genre of the movie 'Paris pieds nus'?
26,Can you recommend a movie similar to 'Paris pieds nus' in the Comedy genre?
26,In which other movies did Fiona Gordon star besides 'Paris pieds nus'?
27,What is the genre of the movie 'Bahubali: The Beginning'?
27,"Can you recommend a movie similar to 'Bahubali: The Beginning' in the Action,Adventure,Drama genre?"
27,In which other movies did Tamannaah Bhatia star besides 'Bahubali: The Beginning'?
28,What is the genre of the movie 'Dead Awake'?
28,"Can you recommend a movie similar to 'Dead Awake' in the Horror,Thriller genre?"
28,What other movies did Phillip Guzman direct besides 'Dead Awake'?
29,What is the genre of the movie 'Bad Moms'?
29,Can you recommend a movie similar to 'Bad Moms' in the Comedy genre?
29,What other movies did Jon Lucas direct besides 'Bad Moms'?
30,What is the genre of the movie 'Assassin's Creed'?
30,"Can you recommend a movie similar to 'Assassin's Creed' in the Action,Adventure,Drama genre?"
30,What other movies did Justin Kurzel direct besides 'Assassin's Creed'?
31,What is the genre of the movie 'Why Him?'?
31,Can you recommend a movie similar to 'Why Him?' in the Comedy genre?
31,What other movies did John Hamburg direct besides 'Why Him?'?
32,What is the genre of the movie 'Nocturnal Animals'?
32,"Can you recommend a movie similar to 'Nocturnal Animals' in the Drama,Thriller genre?"
32,What other movies did Tom Ford direct besides 'Nocturnal Animals'?
33,What is the genre of the movie 'X-Men: Apocalypse'?
33,"Can you recommend a movie similar to 'X-Men: Apocalypse' in the Action,Adventure,Sci-Fi genre?"
33,In which other movies did Michael Fassbender star besides 'X-Men: Apocalypse'?
34,What is the genre of the movie 'Deadpool'?
34,"Can you recommend a movie similar to 'Deadpool' in the Action,Adventure,Comedy genre?"
34,In which other movies did Morena Baccarin star besides 'Deadpool'?
35,What is the genre of the movie 'Resident Evil: The Final Chapter'?
35,"Can you recommend a movie similar to 'Resident Evil: The Final Chapter' in the Action,Horror,Sci-Fi genre?"
35,What other movies did Paul W.S. Anderson direct besides 'Resident Evil: The Final Chapter'?
36,What is the genre of the movie 'Captain America: Civil War'?
36,"Can you recommend a movie similar to 'Captain America: Civil War' in the Action,Adventure,Sci-Fi genre?"
36,What other movies did Anthony Russo direct besides 'Captain America: Civil War'?
